GEO,LIB_MOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01001,L'Abergement-Clémenciat,8.0,13.0,7.0,7.0,5.0,8.0,8.0,13.0,7.0,8.0,10.0,4.0,10.0,12.0,8.0,11.0,8.0
01002,L'Abergement-de-Varey,4.0,3.0,0.0,7.0,1.0,5.0,3.0,5.0,6.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
01004,Ambérieu-en-Bugey,224.0,186.0,211.0,228.0,218.0,208.0,238.0,222.0,220.0,204.0,229.0,220.0,237.0,215.0,231.0,200.0,175.0
01005,Ambérieux-en-Dombes,23.0,21.0,27.0,22.0,21.0,26.0,17.0,15.0,14.0,18.0,21.0,22.0,21.0,41.0,34.0,28.0,25.0
01006,Ambléon,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
01007,Ambronay,35.0,33.0,34.0,31.0,42.0,35.0,34.0,21.0,27.0,41.0,33.0,32.0,36.0,31.0,19.0,29.0,21.0
01008,Ambutrix,13.0,11.0,14.0,10.0,13.0,11.0,10.0,11.0,12.0,3.0,6.0,7.0,10.0,9.0,6.0,11.0,7.0
01009,Andert-et-Condon,8.0,1.0,6.0,1.0,4.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,6.0,4.0,2.0,1.0
01010,Anglefort,15.0,14.0,13.0,10.0,10.0,9.0,10.0,18.0,6.0,20.0,8.0,14.0,5.0,14.0,15.0,17.0,10.0
01011,Apremont,5.0,6.0,5.0,6.0,4.0,4.0,3.0,4.0,5.0,4.0,8.0,0.0,5.0,5.0,6.0,1.0,0.0
01012,Aranc,9.0,3.0,5.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0
01013,Arandas,1.0,0.0,4.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
